Player,2022 PPG,2021 Post AS PPG,2022 Post AS PPG,Percent Change 2021 Post As to 2022,Playoff Pts,Playoff Games,Playoff REB,Playoff AST
OG Anunoby,17.1,18.3,14.7,-0.070175439,17.3,6,4,2.5
Kevin Durant,29.9,24.5,31.1,0.180602007,26.3,4,5.8,6.3
Serge Ibaka,6.8,10.8,7.1,-0.588235294,1.5,6,1.7,0
Kyle Anderson,7.6,11.6,7.5,-0.526315789,6,12,4.3,1.8
Max Strus,10.6,5.1,10.4,0.518867925,10.9,18,4.1,2.1
Jaylen Brown,23.6,24.6,23.4,-0.042372881,23.1,24,6.9,3.5
Bam Adebayo,19.1,18.2,19.8,0.047120419,14.8,18,8,2.7
John Collins,16.2,17.2,9.3,-0.061728395,9.4,5,4.6,1.2
Aaron Holiday,6.3,7,6.7,-0.111111111,3.5,6,0.5,1.5
Blake Griffin,6.4,10,4.6,-0.5625,4,2,2,2
Nemanja Bjelica,6.1,4.5,5.9,0.262295082,2.9,15,2.1,1.1
Andrew Wiggins,17.2,20.3,15.7,-0.180232558,16.5,22,7.5,1.8
Jordan Poole,18.5,14.4,23.4,0.221621622,17,22,2.8,3.8
Rudy Gobert,15.6,14.4,15.4,0.076923077,12,6,13.2,0.5
Wesley Matthews,5.1,5.4,5.4,-0.058823529,6.2,12,3.1,1.2
Kevin Huerter,12.1,11.7,13,0.033057851,9.2,5,3,3.8
Austin Rivers,6,8.7,6,-0.45,4.2,5,0.6,1.2
JaVale McGee,9.2,7.1,7.4,0.22826087,6.8,12,4,0.6
Karl-Anthony Towns,24.6,26.1,25,-0.06097561,21.8,6,10.8,2.2
D'Angelo Russell,18.1,18.7,16.5,-0.033149171,12,6,2.5,6.7
Will Barton,14.7,14.3,13.5,0.027210884,13.8,5,5.6,2.8
Khris Middleton,20.1,20.1,21.8,0,14.5,2,5,7
Tobias Harris,17.2,18.8,14.3,-0.093023256,16.9,12,7.6,2.9
Malik Beasley,12.1,11.8,12.5,0.024793388,8.5,6,3.3,0.7
Jordan Nwora,7.9,6,6.6,0.240506329,0.5,8,0.4,0.3
Nickeil Alexander-Walker,10.6,15.4,4.1,-0.452830189,5,1,1,1
John Konchar,4.8,4.4,5.1,0.083333333,1.1,8,2.4,0.6
Kyrie Irving,27.4,26.5,30.5,0.032846715,21.3,4,5.3,5.3
Bogdan Bogdanovic,15.1,18.7,18.2,-0.238410596,14.3,4,4.8,3
Zach LaVine,24.4,25.6,24,-0.049180328,19.3,4,5.3,6
Royce O'Neale,7.4,6.4,6.9,0.135135135,6.2,6,5.7,1.5
De'Anthony Melton,10.8,8.5,12.9,0.212962963,5.6,10,3.1,1.6
Grant Williams,7.8,4.1,8.7,0.474358974,8.6,24,3.8,0.8
Robert Williams,10,9.4,9.9,0.06,7.7,17,6.2,1
Naji Marshall,5.7,8.4,8.4,-0.473684211,3,6,1,0.8
Jae Crowder,9.4,10,10.9,-0.063829787,9.4,13,4.7,2.4
James Harden,22,23,21,-0.045454545,18.6,12,5.7,8.6
Markieff Morris,7.6,8,7.4,-0.052631579,0,1,1,0
Daniel Theis,8.2,10.1,8.3,-0.231707317,4.3,16,3.3,0.7
Tyus Jones,8.7,4.7,10.2,0.459770115,9.2,12,3.3,4.5
Jeff Green,10.3,12.5,10,-0.213592233,3.8,5,3.6,0.4
Steven Adams,6.9,6.9,6.8,0,3.4,7,6.4,2.1
Stephen Curry,25.5,34.9,23.7,-0.368627451,27.4,22,5.2,5.9
Josh Okogie,2.7,6,3,-1.222222222,0,1,0,0
Matisse Thybulle,5.7,4.8,6,0.157894737,3,9,1,0.4
Jimmy Butler,21.4,22.1,20.5,-0.03271028,27.4,17,7.4,4.6
Willy Hernangomez,9.1,8.1,9.4,0.10989011,2,1,2,0
Tyler Herro,20.7,14.4,22.4,0.304347826,12.6,15,3.9,2.8
Jarred Vanderbilt,6.9,4.6,6.3,0.333333333,5.5,6,7.2,0.7
Jevon Carter,4.2,5.5,5.6,-0.30952381,2.1,11,1.5,0.9
Furkan Korkmaz,7.6,10,3.4,-0.315789474,3.1,9,1.3,0.4
Draymond Green,7.5,8.3,6.5,-0.106666667,8,22,7.2,6.3
Aaron Gordon,15,11.5,16.2,0.233333333,13.8,5,7.2,2.6
Landry Shamet,8.3,11.1,10.1,-0.337349398,4.3,12,1.7,1.3
